Symbol,Date,Close
NIFTYBEES,2017-05-15,963.05
NIFTYBEES,2017-05-16,970.65
NIFTYBEES,2017-05-17,972.12
NIFTYBEES,2017-05-18,962.33
NIFTYBEES,2017-05-19,962.53
NIFTYBEES,2017-05-22,963.64
NIFTYBEES,2017-05-23,958.01
NIFTYBEES,2017-05-24,955.32
NIFTYBEES,2017-05-25,970.46
NIFTYBEES,2017-05-26,978.89
NIFTYBEES,2017-05-29,980.29
NIFTYBEES,2017-05-30,981.75
NIFTYBEES,2017-05-31,982.22
NIFTYBEES,2017-06-01,982.07
NIFTYBEES,2017-06-02,986.33
NIFTYBEES,2017-06-05,989.44
NIFTYBEES,2017-06-06,985.5
NIFTYBEES,2017-06-07,987.78
NIFTYBEES,2017-06-08,987.38
NIFTYBEES,2017-06-09,989.54
NIFTYBEES,2017-06-12,983.25
NIFTYBEES,2017-06-13,984.24
NIFTYBEES,2017-06-14,983.71
NIFTYBEES,2017-06-15,980.4
NIFTYBEES,2017-06-16,980.52
NIFTYBEES,2017-06-19,988.26
NIFTYBEES,2017-06-20,988.77
NIFTYBEES,2017-06-21,985.75
NIFTYBEES,2017-06-22,985.0
NIFTYBEES,2017-06-23,980.29
NIFTYBEES,2017-06-27,973.47
NIFTYBEES,2017-06-28,972.68
NIFTYBEES,2017-06-29,973.55
NIFTYBEES,2017-06-30,975.98
NIFTYBEES,2017-07-03,984.21
NIFTYBEES,2017-07-04,985.08
NIFTYBEES,2017-07-05,987.86
NIFTYBEES,2017-07-06,992.07
NIFTYBEES,2017-07-07,990.09
NIFTYBEES,2017-07-10,1000.18
NIFTYBEES,2017-07-11,1003.84
NIFTYBEES,2017-07-12,1005.54
NIFTYBEES,2017-07-13,1014.25
NIFTYBEES,2017-07-14,1012.44
NIFTYBEES,2017-07-17,1016.88
NIFTYBEES,2017-07-18,1010.11
NIFTYBEES,2017-07-19,1016.32
NIFTYBEES,2017-07-20,1014.73
NIFTYBEES,2017-07-21,1017.73
NIFTYBEES,2017-07-24,1023.86
NIFTYBEES,2017-07-25,1024.98
NIFTYBEES,2017-07-26,1028.62
NIFTYBEES,2017-07-27,1030.46
NIFTYBEES,2017-07-28,1027.57
NIFTYBEES,2017-07-31,1034.27
NIFTYBEES,2017-08-01,1037.39
NIFTYBEES,2017-08-02,1037.78
NIFTYBEES,2017-08-03,1030.69
NIFTYBEES,2017-08-04,1037.47
NIFTYBEES,2017-08-07,1035.0
NIFTYBEES,2017-08-08,1029.12
NIFTYBEES,2017-08-09,1020.77
NIFTYBEES,2017-08-10,1006.75
NIFTYBEES,2017-08-11,997.78
NIFTYBEES,2017-08-14,1009.35
NIFTYBEES,2017-08-16,1020.84
NIFTYBEES,2017-08-17,1021.6
NIFTYBEES,2017-08-18,1016.08
NIFTYBEES,2017-08-21,1005.97
NIFTYBEES,2017-08-22,1007.49
NIFTYBEES,2017-08-23,1015.31
NIFTYBEES,2017-08-24,1017.59
NIFTYBEES,2017-08-28,1022.78
NIFTYBEES,2017-08-29,1010.69
NIFTYBEES,2017-08-30,1018.74
NIFTYBEES,2017-08-31,1021.53
NIFTYBEES,2017-09-01,1028.56
NIFTYBEES,2017-09-04,1020.68
NIFTYBEES,2017-09-05,1024.59
NIFTYBEES,2017-09-06,1021.33
NIFTYBEES,2017-09-07,1023.52
NIFTYBEES,2017-09-08,1022.8
NIFTYBEES,2017-09-11,1030.52
NIFTYBEES,2017-09-12,1037.56
NIFTYBEES,2017-09-13,1035.99
NIFTYBEES,2017-09-14,1037.64
NIFTYBEES,2017-09-15,1037.57
NIFTYBEES,2017-09-18,1045.13
NIFTYBEES,2017-09-19,1044.72
NIFTYBEES,2017-09-20,1044.38
NIFTYBEES,2017-09-21,1040.09
NIFTYBEES,2017-09-22,1025.53
NIFTYBEES,2017-09-25,1016.95
NIFTYBEES,2017-09-26,1013.93
NIFTYBEES,2017-09-27,1006.22
NIFTYBEES,2017-09-28,1010.05
NIFTYBEES,2017-09-29,1009.98
NIFTYBEES,2017-10-03,1015.03
NIFTYBEES,2017-10-04,1020.69
NIFTYBEES,2017-10-05,1018.65
NIFTYBEES,2017-10-06,1030.78
NIFTYBEES,2017-10-09,1030.84
NIFTYBEES,2017-10-10,1032.04
NIFTYBEES,2017-10-11,1027.71
NIFTYBEES,2017-10-12,1038.68
NIFTYBEES,2017-10-13,1049.73
NIFTYBEES,2017-10-16,1055.96
NIFTYBEES,2017-10-17,1055.37
NIFTYBEES,2017-10-18,1053.95
NIFTYBEES,2017-10-19,1046.98
NIFTYBEES,2017-10-23,1051.64
NIFTYBEES,2017-10-24,1049.27
NIFTYBEES,2017-10-25,1059.48
NIFTYBEES,2017-10-26,1063.81
NIFTYBEES,2017-10-27,1062.02
NIFTYBEES,2017-10-30,1069.49
NIFTYBEES,2017-10-31,1065.17
NIFTYBEES,2017-11-01,1074.61
NIFTYBEES,2017-11-02,1074.33
NIFTYBEES,2017-11-03,1076.66
NIFTYBEES,2017-11-06,1076.69
NIFTYBEES,2017-11-07,1068.62
NIFTYBEES,2017-11-08,1063.09
NIFTYBEES,2017-11-09,1061.56
NIFTYBEES,2017-11-10,1062.61
NIFTYBEES,2017-11-13,1056.08
NIFTYBEES,2017-11-14,1052.04
NIFTYBEES,2017-11-15,1044.66
NIFTYBEES,2017-11-16,1052.29
NIFTYBEES,2017-11-17,1058.92
NIFTYBEES,2017-11-20,1061.83
NIFTYBEES,2017-11-21,1063.83
NIFTYBEES,2017-11-22,1064.62
NIFTYBEES,2017-11-23,1065.81
NIFTYBEES,2017-11-24,1069.46
NIFTYBEES,2017-11-27,1069.85
NIFTYBEES,2017-11-28,1068.41
NIFTYBEES,2017-11-29,1067.82
NIFTYBEES,2017-11-30,1057.46
NIFTYBEES,2017-12-01,1046.15
NIFTYBEES,2017-12-04,1046.95
NIFTYBEES,2017-12-05,1046.0
NIFTYBEES,2017-12-06,1037.72
NIFTYBEES,2017-12-07,1051.06
NIFTYBEES,2017-12-08,1060.46
NIFTYBEES,2017-12-11,1062.93
NIFTYBEES,2017-12-12,1055.98
NIFTYBEES,2017-12-13,1052.07
NIFTYBEES,2017-12-14,1054.02
NIFTYBEES,2017-12-15,1063.71
NIFTYBEES,2017-12-18,1069.26
NIFTYBEES,2017-12-19,1077.82
NIFTYBEES,2017-12-20,1075.13
NIFTYBEES,2017-12-21,1074.49
NIFTYBEES,2017-12-22,1079.36
NIFTYBEES,2017-12-26,1082.81
NIFTYBEES,2017-12-27,1082.37
NIFTYBEES,2017-12-28,1079.88
NIFTYBEES,2017-12-29,1084.48
NIFTYBEES,2018-01-01,1078.14
NIFTYBEES,2018-01-02,1074.61
NIFTYBEES,2018-01-03,1076.29
NIFTYBEES,2018-01-04,1081.76
NIFTYBEES,2018-01-05,1087.2
NIFTYBEES,2018-01-08,1092.46
NIFTYBEES,2018-01-09,1094.91
NIFTYBEES,2018-01-10,1099.07
NIFTYBEES,2018-01-11,1100.29
NIFTYBEES,2018-01-12,1102.69
NIFTYBEES,2018-01-15,1109.02
NIFTYBEES,2018-01-16,1103.79
NIFTYBEES,2018-01-17,1110.49
NIFTYBEES,2018-01-18,1115.38
NIFTYBEES,2018-01-19,1121.84
NIFTYBEES,2018-01-22,1128.79
NIFTYBEES,2018-01-23,1141.89
NIFTYBEES,2018-01-24,1141.95
NIFTYBEES,2018-01-25,1139.31
NIFTYBEES,2018-01-29,1146.27
NIFTYBEES,2018-01-30,1137.14
NIFTYBEES,2018-01-31,1135.44
NIFTYBEES,2018-02-01,1135.03
NIFTYBEES,2018-02-02,1112.49
NIFTYBEES,2018-02-05,1102.94
NIFTYBEES,2018-02-06,1087.35
NIFTYBEES,2018-02-07,1083.85
NIFTYBEES,2018-02-08,1094.94
NIFTYBEES,2018-02-09,1082.32
NIFTYBEES,2018-02-12,1091.35
NIFTYBEES,2018-02-14,1086.53
NIFTYBEES,2018-02-15,1092.15
NIFTYBEES,2018-02-16,1082.69
NIFTYBEES,2018-02-19,1074.1
NIFTYBEES,2018-02-20,1071.76
NIFTYBEES,2018-02-21,1076.56
NIFTYBEES,2018-02-22,1074.63
NIFTYBEES,2018-02-23,1084.68
NIFTYBEES,2018-02-26,1093.56
NIFTYBEES,2018-02-27,1089.94
NIFTYBEES,2018-02-28,1086.7
NIFTYBEES,2018-03-01,1081.19
NIFTYBEES,2018-03-05,1071.74
NIFTYBEES,2018-03-06,1060.94
NIFTYBEES,2018-03-07,1050.67
NIFTYBEES,2018-03-08,1059.59
NIFTYBEES,2018-03-09,1059.04
NIFTYBEES,2018-03-12,1079.89
NIFTYBEES,2018-03-13,1079.15
NIFTYBEES,2018-03-14,1078.19
NIFTYBEES,2018-03-15,1072.57
NIFTYBEES,2018-03-16,1056.78
NIFTYBEES,2018-03-19,1047.7
NIFTYBEES,2018-03-20,1046.47
NIFTYBEES,2018-03-21,1049.05
NIFTYBEES,2018-03-22,1045.79
NIFTYBEES,2018-03-23,1036.78
NIFTYBEES,2018-03-26,1047.05
NIFTYBEES,2018-03-27,1051.84
NIFTYBEES,2018-03-28,1049.25
NIFTYBEES,2018-04-02,1058.12
NIFTYBEES,2018-04-03,1062.7
NIFTYBEES,2018-04-04,1049.52
NIFTYBEES,2018-04-05,1069.01
NIFTYBEES,2018-04-06,1068.69
NIFTYBEES,2018-04-09,1073.58
NIFTYBEES,2018-04-10,1076.05
NIFTYBEES,2018-04-11,1078.44
NIFTYBEES,2018-04-12,1084.0
NIFTYBEES,2018-04-13,1084.75
NIFTYBEES,2018-04-16,1089.37
NIFTYBEES,2018-04-17,1089.11
NIFTYBEES,2018-04-18,1086.8
NIFTYBEES,2018-04-19,1091.52
NIFTYBEES,2018-04-20,1090.04
NIFTYBEES,2018-04-23,1094.72
NIFTYBEES,2018-04-24,1097.75
NIFTYBEES,2018-04-25,1092.79
NIFTYBEES,2018-04-26,1098.59
NIFTYBEES,2018-04-27,1105.53
NIFTYBEES,2018-04-30,1111.68
NIFTYBEES,2018-05-02,1107.71
NIFTYBEES,2018-05-03,1105.29
NIFTYBEES,2018-05-04,1100.19
NIFTYBEES,2018-05-07,1107.22
NIFTYBEES,2018-05-08,1108.38
NIFTYBEES,2018-05-09,1112.23
NIFTYBEES,2018-05-10,1107.94
NIFTYBEES,2018-05-11,1116.06
NIFTYBEES,2018-05-14,1116.89
NIFTYBEES,2018-05-15,1117.17
NIFTYBEES,2018-05-16,1111.93
NIFTYBEES,2018-05-17,1106.31
NIFTYBEES,2018-05-18,1096.05
NIFTYBEES,2018-05-21,1090.49
NIFTYBEES,2018-05-22,1092.81
NIFTYBEES,2018-05-23,1078.64
NIFTYBEES,2018-05-24,1085.42
NIFTYBEES,2018-05-25,1098.11
NIFTYBEES,2018-05-28,1110.51
NIFTYBEES,2018-05-29,1103.69
NIFTYBEES,2018-05-30,1102.99
NIFTYBEES,2018-05-31,1112.5
NIFTYBEES,2018-06-01,1109.92
NIFTYBEES,2018-06-04,1101.16
NIFTYBEES,2018-06-05,1101.85
